num,title
1,Image in the Sand
2,Shadows and Symbols
3,Afterimage
4,Take Me Out to the Holosuite
5,Chrysalis
6,Treachery Faith and the Great River
7,Once More Unto the Breach
8,The Siege of AR-558
9,Covenant
10,Its Only a Paper Moon
11,Prodigal Daughter
12,The Emperors New Cloak
13,Field of Fire
14,Chimera
15,Badda-Bing Badda-Bang
16,Inter Arma Enim Silent Leges
17,Penumbra
18,Til Death Do Us Part
19,Strange Bedfellows
20,The Changing Face of Evil
21,When It Rains
22,Tacking Into the Wind
23,Extreme Measures
24,The Dogs of War
25,What You Leave Behind Part I
26,What You Leave Behind Part II
