num,title
1,The Man Trap
2,Charlie X
3,Where No Man Has Gone Before
4,The Naked Time
5,The Enemy Within
6,Mudds Women
7,What Are Little Girls Made Of
8,Miri
9,Dagger of the Mind
10,The Corbomite Maneuver
11,The Menagerie Part I
12,The Menagerie Part II
13,The Conscience of the King
14,Balance of Terror
15,Shore Leave
16,The Galileo Seven
17,The Squire of Gothos
18,Arena
19,Tomorrow Is Yesterday
20,Court Martial
21,The Return of the Archons
22,Space Seed
23,A Taste of Armageddon
24,This Side of Paradise
25,The Devil in the Dark
26,Errand of Mercy
27,The Alternative Factor
28,The City on the Edge of Forever
29,Operation Annihilate
