1,Spocks Brain
2,The Enterprise Incident
3,The Paradise Syndrome
4,And the Children Shall Lead
5,Is There in Truth No Beauty
6,Spectre of the Gun
7,Day of the Dove
8,For the World Is Hollow and I Have Touched the Sky
9,The Tholian Web
10,Platos Stepchildren
11,Wink of an Eye
12,The Empath
13,Elaan of Troyius
14,Whom Gods Destroy
15,Let That Be Your Last Battlefield
16,The Mark of Gideon
17,That Which Survives
18,The Lights of Zetar
19,Requiem for Methuselah
20,The Way to Eden
21,The Cloud Minders
22,The Savage Curtain
23,All Our Yesterdays
24,Turnabout Intruder
